,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,2062,,,,,,
,Name,Pos.,Age,Ovr,Pot,Location,Winning,Playing Time,Coach,ProPotential,Prestige,Education,Campus,Tradition,Hometown,Legacy School,Committed?,Storyline,,pid,Draft Year,Drafted,Drafted by,pid Database Check,,Code
1,Winn Cunningham,DL,18,51,85,0.349,0.369,0.015,0.816,0.969,0.191,0.761,0.776,0.602,North Carolina,,,ProPotential: Is a fan of the Panthers,,,,,,#N/A,,Winn Cunningham-North Carolina-2060
2,Tyler Hawkins,CB,18,56,84,0.448,0.151,0.139,0.739,0.880,0.343,0.906,0.250,0.036,Texas,,,Education: Wants to major in biology,,,,,,#N/A,,Tyler Hawkins-Texas-2060
3,Kaito Miyagi,CB,18,55,82,0.335,0.594,0.088,0.881,0.488,0.015,0.699,0.630,0.490,Japan,,,,,,,,,#N/A,,Kaito Miyagi-Japan-2060
4,Shane Starks,QB,18,51,86,0.313,0.892,0.544,0.539,0.858,0.951,0.895,0.962,0.016,Arkansas,,,Campus: Wants to attend a school with a beautiful campus,,,,,,#N/A,,Shane Starks-Arkansas-2060
5,Connor Franklin,CB,18,52,77,0.940,0.151,0.997,0.702,0.404,0.015,0.501,0.222,0.238,Texas,,,Playing Time: Would prefer to play for a G5 school if it means being of greater significance to the team.,,,,,,#N/A,,Connor Franklin-Texas-2060
6,Derrick Armstrong,CB,18,52,79,0.610,0.138,0.654,0.727,0.573,0.184,0.614,0.457,0.323,Kansas,,,,,,,,,#N/A,,Derrick Armstrong-Kansas-2060
7,Spencer Ford,S,18,43,71,0.022,0.244,0.141,0.400,0.284,0.114,0.953,0.380,0.602,North Carolina,,,Education: Wants to study abroad in Italy,,,,,,#N/A,,Spencer Ford-North Carolina-2060
8,Kyle Loftin,S,18,43,71,0.247,0.290,0.960,0.579,0.133,0.040,0.936,0.910,0.074,California,,,Playing Time: Would prefer to be redshirted to further develop and start on a better Team,,,,,,#N/A,,Kyle Loftin-California-2060
9,Pharaoh Lizotte,QB,18,48,82,0.325,0.368,0.067,0.574,0.563,0.358,0.036,0.353,0.805,Ohio,Notre Dame,,,,,,,,#N/A,,Pharaoh Lizotte-Ohio-2060
10,Wesley McKey,OL,18,44,73,0.507,0.646,0.720,0.442,0.646,0.071,0.567,0.950,0.767,Georgia,,Notre Dame,Campus: Wants to go to college in a smaller town,,,,,,#N/A,,Wesley McKey-Georgia-2060
11,Chris East,WR,18,49,76,0.553,0.120,0.614,0.037,0.426,0.270,0.406,0.501,0.050,Louisiana,,,,,,,,,#N/A,,Chris East-Louisiana-2060
12,Ben Hornbuckle,OL,18,44,74,0.052,0.315,0.359,0.456,0.513,0.663,0.561,0.505,0.841,Florida,,,,,,,,,#N/A,,Ben Hornbuckle-Florida-2060
13,Greg Dawson,TE,18,39,63,0.927,0.720,0.110,0.708,0.812,0.104,0.854,0.853,0.461,Florida,,,"Location: Has family in Florida, and wants them to see one of his games.",,,,,,#N/A,,Greg Dawson-Florida-2060
14,Josh Jacobs,QB,18,47,81,0.647,0.255,0.505,0.219,0.311,0.098,0.475,0.914,0.346,Oregon,Louisiana Tech,,Campus: Wants to live in a major city,,,,,,#N/A,,Josh Jacobs-Oregon-2060
15,Max Torres,WR,18,48,76,0.280,0.268,0.484,0.733,0.769,0.910,0.694,0.488,0.832,Wisconsin,,,Prestige: Has ambitions of winning a national championship game,,,,,,#N/A,,Max Torres-Wisconsin-2060
